Timeline,Start time,Duration,Row,Instance number,OUTCOME,PLAYER'S NAME,Shot Direction,Stroke,Ungrouped,Notes,Flags
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),30.094834807999508,16.10071503661668,RALLY,1,,,,,,net - hard drive,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),58.867673903425704,5.648150485134373,RALLY,2,,,,,,soft drive - block,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),77.41398568156266,23.40326361204616,RALLY,3,,,,,,defend - smash,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),114.3953809809995,24.86781236634144,RALLY,4,,,,,,defend - defend,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),199.29814314131818,4.117180559366346,RALLY,5,,,,,,serve,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),213.13692146644428,6.279877962781114,RALLY,6,,,,,,receive serves,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),229.69571347499888,9.318019939082888,RALLY,7,,,,,,smash - tap,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),250.1750166851991,7.72294202840996,RALLY,8,,,,,,block - tap,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),272.3947252809998,8.39758639827852,RALLY,9,,,,,,smash - hard drive,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),293.71583523471196,4.911868194749275,RALLY,10,,,,,,soft drive - hard drive,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),308.6947226739966,8.990065193137696,RALLY,11,,,,,,defend - defend,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),330.19485004500115,11.927107326156147,RALLY,12,,,,,,drop - tap,
PMM2025_R16_WD_GO PEI KEE & TEOH MEI XING (MAS) - JIA YI FAN & ZHANG SHU XIAN (CHN),400.995118756999,14.203988101656307,RALLY,13,,,,,,clear - hard drive,
